participant;condition;order;lux
1;uniteye;0;585
1;uniteye;1;589
1;tobii;0;570
1;tobii;1;572
2;uniteye;1;504
2;tobii;1;496
2;uniteye;0;484
2;tobii;0;490
3;tobii;1;484
3;tobii;0;490
3;uniteye;1;480
3;uniteye;0;494
4;tobii;0;485
4;uniteye;0;489
4;tobii;1;490
4;uniteye;1;491
5;uniteye;0;475
5;uniteye;1;471
5;tobii;0;469
5;tobii;1;486
6;uniteye;1;465
6;tobii;1;471
6;uniteye;0;463
6;tobii;0;466
7;tobii;1;455
7;tobii;0;457
7;uniteye;1;455
7;uniteye;0;456
8;tobii;0;461
8;uniteye;0;463
8;tobii;1;457
8;uniteye;1;459
9;uniteye;0;487
9;uniteye;1;484
9;tobii;0;485
9;tobii;1;482
10;uniteye;1;523
10;tobii;1;560
10;uniteye;0;555
10;tobii;0;520
11;tobii;1;504
11;tobii;0;508
11;uniteye;1;512
11;uniteye;0;517
12;tobii;0;483
12;uniteye;0;478
12;tobii;1;474
12;uniteye;1;480
